,off_total_yds_g,off_pass_yds_g,off_rush_yds_g,off_pts_g,def_total_yds_g,def_pass_yds_g,def_rush_yds_g,def_pts_g,kick_att,kick_yds,kick_avg,kick_lng,kick_td,punt_att,punt_yds,punt_avg,punt_lng,punt_td,punt_fc,turn_diff,take_int,take_fum,take_total,give_int,give_fum,give_total,record,rat,pwr,off,def,hfa,sos,Year,Playoff
249,331.7,238.2,93.5,19.4,376.2,250.0,126.2,24.3,43,958,22.3,50,0,41,424,10.3,69,1,16,-3,13,3,16,12,7,19,0.375,8.03,-3.66,20.19,-0.32,2.43,-1.0,2015,0
250,331.2,203.4,127.8,25.3,329.3,231.1,98.2,17.9,35,791,22.6,54,0,45,355,7.9,37,0,9,14,22,7,29,7,8,15,0.667,8.9,6.69,24.59,5.64,2.45,1.54,2015,1
251,321.4,231.5,89.9,20.8,379.1,257.1,122.0,25.5,43,1047,24.3,60,0,39,268,6.9,33,0,28,-5,17,8,25,19,11,30,0.5,8.17,-3.49,21.82,-1.77,2.56,-1.51,2015,0
252,321.2,183.0,138.2,22.8,344.2,234.9,109.3,18.9,42,1190,28.3,101,2,34,311,9.1,65,1,15,5,13,9,22,9,8,17,0.647,8.75,3.8,22.69,4.65,2.49,1.49,2015,1
253,311.8,218.9,92.8,18.7,342.2,229.9,112.3,26.4,33,680,20.6,34,0,38,307,8.1,37,0,17,-14,11,8,19,17,16,33,0.188,7.52,-8.85,18.38,-3.68,2.42,-2.26,2015,0
254,303.8,207.3,96.5,14.9,387.4,261.2,126.3,24.2,42,993,23.6,40,0,30,226,7.5,37,0,23,-5,9,3,12,12,5,17,0.313,8.1,-3.41,19.24,0.89,2.55,2.22,2015,0
255,297.6,175.3,122.3,17.5,367.8,254.1,113.8,20.6,34,830,24.4,102,0,39,300,7.7,75,1,15,5,13,13,26,11,10,21,0.438,8.32,-1.39,19.93,2.22,2.48,1.56,2015,0
256,411.4,297.8,113.6,25.1,384.0,251.2,132.8,26.5,21,543,25.9,99,0,19,134,7.1,32,0,26,-13,12,5,17,17,13,30,0.438,8.28,-0.33,25.33,-2.01,2.79,-0.55,2014,0
257,411.1,301.6,109.5,27.3,353.4,253.1,100.3,23.0,35,758,21.7,41,0,32,321,10.0,71,1,16,0,11,10,21,10,11,21,0.647,8.63,1.73,25.52,-0.15,2.75,-0.89,2014,1
258,406.6,305.9,100.8,28.6,342.7,229.3,113.4,23.1,38,1065,28.0,76,0,45,312,6.9,22,0,25,-5,12,14,26,16,15,31,0.684,8.84,2.81,25.2,1.24,2.76,0.22,2014,1
259,402.9,291.3,111.6,30.1,305.2,225.4,79.8,22.1,32,802,25.1,77,0,41,296,7.2,22,0,28,5,18,7,25,15,5,20,0.706,8.91,5.91,28.83,0.71,2.71,1.51,2014,1
260,396.8,272.3,124.5,29.6,375.6,264.9,110.7,25.0,32,874,27.3,107,2,41,531,13.0,82,2,21,-8,12,16,28,21,15,36,0.625,8.63,2.3,27.74,-1.81,2.65,-0.1,2014,0
261,386.1,266.3,119.8,30.4,346.4,226.4,119.9,21.8,29,555,19.1,41,0,29,333,11.5,75,2,12,14,18,9,27,6,7,13,0.722,9.0,5.85,28.42,1.06,2.8,1.58,2014,1
262,383.6,236.5,147.1,29.2,355.1,251.9,103.1,22.0,33,790,23.9,42,0,30,275,9.2,38,0,13,6,18,13,31,11,14,25,0.722,8.84,3.98,27.47,0.15,2.67,-0.46,2014,1
263,378.2,284.6,93.6,23.8,398.3,279.9,118.4,26.1,50,1174,23.5,66,0,18,239,13.3,68,1,11,5,16,12,28,15,8,23,0.375,8.14,-2.08,24.09,-2.54,2.67,-0.73,2014,0
264,375.8,203.1,172.6,24.6,267.1,185.6,81.5,15.9,39,820,21.0,47,0,36,252,7.0,38,0,28,9,13,10,23,7,7,14,0.737,9.14,8.51,25.73,6.42,2.82,0.58,2014,1
265,367.2,267.0,100.2,23.8,375.8,240.6,135.1,25.0,44,1025,23.3,45,0,29,224,7.7,25,0,27,-3,17,8,25,14,14,28,0.375,8.17,-1.23,23.7,-1.29,2.64,-0.75,2014,0
266,365.5,257.6,107.9,29.3,344.1,239.8,104.3,19.6,31,693,22.4,81,0,41,431,10.5,84,1,11,12,16,9,25,9,4,13,0.789,9.37,11.09,31.34,3.38,2.78,2.34,2014,1
267,364.9,238.7,126.2,25.6,336.9,248.7,88.3,18.9,38,1077,28.3,108,1,32,292,9.1,45,0,23,2,11,11,22,12,8,20,0.611,8.78,5.21,25.81,3.04,2.76,-0.16,2014,1
268,358.6,252.9,105.7,18.8,357.0,249.4,107.6,27.4,36,783,21.8,45,0,29,208,7.2,37,0,27,-12,7,12,19,18,13,31,0.25,7.81,-7.11,19.8,-3.28,2.54,-0.85,2014,0
